entry,name,SMILES,InChIKey,temperature,ΔΔG.expt.,test
C1,2'-acetonaphthone,O=C(C)c1cc2ccccc2cc1,XSAYZAUNJMRRIR-UHFFFAOYSA-N,273,-0.4811015603624227,0
D3,"2,2-dimethylcyclopentanone",O=C1C(C)(C)CCC1,FTGZMZBYOHMEPS-UHFFFAOYSA-N,273,-0.4772220477077166,0
D13(trans),"2,2,6-trimethylcyclohexanone (trans)",O=C1C(C)(C)CCC[C@H]1(C),ZPVOLGVTNLDBFI-SSDOTTSWSA-N,273,-0.738058924470881,0
D13(cis),"2,2,6-Trimethylcyclohexanone-2",O=C1C(C)(C)CCC[C@@H]1(C),ZPVOLGVTNLDBFI-ZETCQYMHSA-N,273,-0.11903846144313808,0
C13,5-nonanone,CCC[13CH2]C(=O)CCCC,WSGCRAOTEDLMFQ-CDYZYAPPSA-N,273,-0.27993769334018254,0
D15,"3,3,5,5-tetramethylcyclohexan-1-one",O=C1[13CH2]C(C)(C)CC(C)(C)C1,OQJMHUOCLRCSED-HOSYLAQJSA-N,273,-0.2711277995120343,0
A1,acetophenone,O=C(c1ccccc1)C,KWOLFJPFCHCOCG-UHFFFAOYSA-N,273,-0.25135991559925697,0
A16,isobutyrophenone,O=C(c1ccccc1)C(C)C,BSMGLVDZZMBWQB-UHFFFAOYSA-N,273,-0.22544926640004398,0
A7,3'-methylacetophenone,CC(c1cc(C)ccc1)=O,FSPSELPMWGWDRY-UHFFFAOYSA-N,273,-0.21064930116823263,0
A8,3'-methoxyacetophenone,CC(c1cc(OC)ccc1)=O,BAYUSCHCCGXLAY-UHFFFAOYSA-N,273,-0.20925601464965848,0
B1,1-indanone,O=C1c2ccccc2CC1,QNXSIUBBGPHDDE-UHFFFAOYSA-N,273,-0.19548927390935034,0
A14,propiophenone,O=C(CC)c1ccccc1,KRIOVPPHQSLHCZ-UHFFFAOYSA-N,273,-0.1400583315037466,0
A20,cyclobutyl phenyl ketone,O=C(C1CCC1)c2ccccc2,MVEBDOSCXOQNAR-UHFFFAOYSA-N,273,-0.09740911108196935,0
B3,1-tetralone,O=C1c2ccccc2CCC1,XHLHPRDBBAGVEG-UHFFFAOYSA-N,273,-0.09379485879919268,0
A23,cyclohexyl phenyl ketone,O=C(C1CCCCC1)c2ccccc2,BMFYCFSWWDXEPB-UHFFFAOYSA-N,273,-0.05896115917146851,0
A19,valerophenone,O=C(CCCC)c1ccccc1,XKGLSKVNOSHTAD-UHFFFAOYSA-N,273,-0.055832478677398455,0
A15,butyrophenone,O=C(c1ccccc1)CCC,FFSAXUULYPJSKH-UHFFFAOYSA-N,273,-0.05290821139502672,0
B4,1-benzosuberone,O=C1c2ccccc2CCCC1,KWHUHTFXMNQHAA-UHFFFAOYSA-N,273,-0.013318973386423261,0
A24,benzophenone,O=C([13c]1ccccc1)c2ccccc2,RWCCWEUUXYIKHB-KHWBWMQUSA-N,273,0.0,0
A2,4'-methylacetophenone,O=C(C)c1ccc(C)cc1,GNKZMNRKLCTJAY-UHFFFAOYSA-N,273,0.15941509968075374,0
A22,cyclopentyl phenyl ketone,O=C(c1ccccc1)C2CCCC2,VYDIMQRLNMMJBW-UHFFFAOYSA-N,273,0.16759904265469597,0
D16(trans),(-)-menthone (eq),O=C1[C@@H](C(C)C)CC[C@H](C)C1,NFLGAXVYCFJBMK-DTWKUNHWSA-N,273,0.09801063165382129,0
D16(cis),(-)-menthone (ax),O=C1[C@H](C(C)C)CC[C@@H](C)C1,NFLGAXVYCFJBMK-BDAKNGLRSA-N,273,0.277006797251848,0
A17,cyclopropyl phenyl ketone,O=C(c1ccccc1)C2CC2,PJRHFTYXYCVOSJ-UHFFFAOYSA-N,273,0.21261912510977535,0
D6,cyclooctanone,C1CC[13CH2]C(=O)CCC1,IIRFCWANHMSDCG-PTQBSOBMSA-N,273,0.2759783394108414,0
D2(trans),2-cyclopentylcyclopentanone(trans),O=C1[C@@H](C2CCCC2)CCC1,CWZGKTMWPFTJCS-SECBINFHSA-N,273,0.3359480904225796,0
D2(cis),2-cyclopentylcyclopentanone(cis),O=C1[C@H](C2CCCC2)CCC1,CWZGKTMWPFTJCS-VIFPVBQESA-N,273,0.3581254553855987,0
D7,cyclododecanone,O=C1[13CH2]CCCCCCCCCC1,SXVPOSFURRDKBO-DETAZLGJSA-N,273,0.5096612923312198,0
A3,4'-methoxyacetophenone,O=C(C)c1ccc(OC)cc1,NTPLXRHDUXRPNE-UHFFFAOYSA-N,273,0.5606068545679082,0
A21,isovalerophenone,O=C(c1ccccc1)CC(C)C,HEOVGVNITGAUKL-UHFFFAOYSA-N,273,0.5650356173405527,0
