row_index,entry,name,InChIKey,conf_id,boltzmann_weight,cache_file
21,E4,2-adamantanone,IYKFYARMMIESOX-VJJZLTLGSA-N,188,1.0,IYKFYARMMIESOX-VJJZLTLGSA-N_conf188.npy
22,A6,4'-(trifluoromethyl)acetophenone,HHAISVSEJFEWBZ-UHFFFAOYSA-N,259,1.0,HHAISVSEJFEWBZ-UHFFFAOYSA-N_conf259.npy
23,C8,2-fluorophenylacetone,BANVZEUCJHUPOI-UHFFFAOYSA-N,208,0.3594286218831826,BANVZEUCJHUPOI-UHFFFAOYSA-N_conf208.npy
23,C8,2-fluorophenylacetone,BANVZEUCJHUPOI-UHFFFAOYSA-N,64,0.3594286218831826,BANVZEUCJHUPOI-UHFFFAOYSA-N_conf64.npy
23,C8,2-fluorophenylacetone,BANVZEUCJHUPOI-UHFFFAOYSA-N,142,0.1405713781168173,BANVZEUCJHUPOI-UHFFFAOYSA-N_conf142.npy
23,C8,2-fluorophenylacetone,BANVZEUCJHUPOI-UHFFFAOYSA-N,355,0.1405713781168173,BANVZEUCJHUPOI-UHFFFAOYSA-N_conf355.npy
24,C2,4-phenyl-2-butanone,AKGGYBADQZYZPD-UHFFFAOYSA-N,509,0.3708070240700495,AKGGYBADQZYZPD-UHFFFAOYSA-N_conf509.npy
24,C2,4-phenyl-2-butanone,AKGGYBADQZYZPD-UHFFFAOYSA-N,325,0.36764260662349,AKGGYBADQZYZPD-UHFFFAOYSA-N_conf325.npy
24,C2,4-phenyl-2-butanone,AKGGYBADQZYZPD-UHFFFAOYSA-N,72,0.1174007185331796,AKGGYBADQZYZPD-UHFFFAOYSA-N_conf72.npy
24,C2,4-phenyl-2-butanone,AKGGYBADQZYZPD-UHFFFAOYSA-N,32,0.1173892642481811,AKGGYBADQZYZPD-UHFFFAOYSA-N_conf32.npy
24,C2,4-phenyl-2-butanone,AKGGYBADQZYZPD-UHFFFAOYSA-N,370,0.0267603865250998,AKGGYBADQZYZPD-UHFFFAOYSA-N_conf370.npy
25,C4,"1,1-dimethoxy-3-butanone",PJCCSZUMZMCWSX-UHFFFAOYSA-N,154,0.2540405910202723,PJCCSZUMZMCWSX-UHFFFAOYSA-N_conf154.npy
