group,stage,expected,observed_percent,fulltrain_percent,fulltrain_top_match,outer83_top_match_fraction,outer83_mean_percent,outer83_median_percent,outer83_sd_percent,outer83_p16_percent,outer83_p84_percent,outer83_min_percent,outer83_max_percent
a,initial,2,87.0,69.654108921465,True,0.9397590361445783,70.55440069330419,71.18435471909812,12.32356456145111,64.96016891504182,79.0489992613592,14.653857838933634,98.45291416519929
b,initial,1,100.0,85.71500851338014,True,0.9759036144578314,83.79516772428515,87.01929608849218,13.504196490521192,78.05784982028422,91.3851460539368,11.579866152991011,99.16727042223724
c,initial,2,99.0,77.80440707245579,True,0.9156626506024096,71.03107694425654,74.9618884626517,12.156591675755994,64.27513361166282,79.98031281620324,35.216170372066614,87.11150328666103
d,initial,1,95.0,89.27395860421872,True,1.0,88.39439999057088,89.28674286937547,5.614959704531972,86.05806536772629,91.47207575562712,58.35664954615963,98.32282364910041
e,initial,2,100.0,99.85036609018492,True,1.0,99.87930437502186,99.86964047182586,0.058944737244685456,99.83619977420439,99.94881865534325,99.61691442585276,99.99167746832106
f,initial,1,100.0,99.60771080112642,True,1.0,99.2820760809519,99.5494167740034,1.2911062682025116,99.22493779434596,99.66143051278951,88.17358066212402,99.88771899577819
a,final,2-4,,70.35289200037982,True,0.9518072289156626,71.02466738313693,71.65756002387113,12.213943022345974,65.1907303069242,79.23905881002483,14.84341017397599,98.39220380244437
e,final,2-3,,91.6231606492226,True,0.9879518072289156,88.7953186210934,91.10162646335816,6.880320000483743,85.41484030621025,92.06886619519628,46.44712799311521,95.42661116692886
