feature_index,feature,block,kind,x_grid,y_grid,z_grid,x_angstrom,y_angstrom,z_angstrom,radius_angstrom,fulltrain_coefficient,fulltrain_nonzero,outer_selection_frequency,outer_coefficient_mean,outer_coefficient_median_all,outer_coefficient_p16,outer_coefficient_p84,outer_coefficient_median_when_selected,outer_sign_consistency_when_selected,outer_dominant_sign,training_centered_effect_rms_kcal_mol,training_centered_effect_mean_abs_kcal_mol,training_centered_effect_max_abs_kcal_mol,stability_weighted_abs_coefficient
53,"electronic:grid:(-2, 2, 2)",electronic,grid,-2.0,2.0,2.0,-2.116708843612,2.116708843612,2.116708843612,3.6662472619663484,0.2214367876428689,True,1.0,0.20995813566192822,0.21569539014891087,0.1846435442339775,0.22514568484898684,0.21569539014891087,1.0,positive,0.5889630549926703,0.4716042634903347,1.6015256293058608,0.2214367876428689
139,"electrostatic:grid:(-3, 1, 3)",electrostatic,grid,-3.0,1.0,3.0,-3.1750632654179998,1.058354421806,3.1750632654179998,4.613259971101774,0.17898466757238046,True,1.0,0.17828383559993458,0.1796020664115463,0.17285968388650444,0.18385239274847576,0.1796020664115463,1.0,positive,0.6514057339353377,0.5219615198578805,1.9410648976205531,0.17898466757238046
169,"electrostatic:grid:(-1, 1, 3)",electrostatic,grid,-1.0,1.0,3.0,-1.058354421806,1.058354421806,3.1750632654179998,3.510164512344035,0.17335446296346627,True,1.0,0.16961330412370762,0.17207310295658482,0.16386519363429936,0.17534552567770603,0.17207310295658482,1.0,positive,0.4439333878759633,0.33069923094531856,1.7927292879871985,0.17335446296346627
74,"electronic:grid:(-1, 3, 3)",electronic,grid,-1.0,3.0,3.0,-1.058354421806,3.1750632654179998,3.1750632654179998,4.613259971101774,0.1513268112078794,True,1.0,0.147415224582801,0.14941980077282568,0.14198017534657376,0.15446568137331151,0.14941980077282568,1.0,positive,0.29888173351317004,0.23797251817528783,0.9208204050088672,0.1513268112078794
167,"electrostatic:grid:(-1, 1, 1)",electrostatic,grid,-1.0,1.0,1.0,-1.058354421806,1.058354421806,1.058354421806,1.8331236309831742,-0.11488778299518827,True,1.0,-0.10356023238003911,-0.11050067369386889,-0.12557895718738926,-0.07968843732194278,-0.11050067369386889,1.0,negative,0.09769007663253941,0.06830470824617024,0.3843450834712349,0.11488778299518827
95,"electronic:grid:(2, 2, -2)",electronic,grid,2.0,2.0,-2.0,2.116708843612,2.116708843612,-2.116708843612,3.6662472619663484,0.10646916830352297,True,0.9879518072289156,0.10544884300011441,0.10737406238326035,0.09032051114651231,0.11939187405685867,0.10740203827125233,1.0,positive,0.18769624351926295,0.1573007860830996,0.6320986870775387,0.10518640723962511
36,"electronic:grid:(-3, 2, -1)",electronic,grid,-3.0,2.0,-1.0,-3.1750632654179998,2.116708843612,-1.058354421806,3.9599996401752833,-0.10506915675962378,True,1.0,-0.09977324328199808,-0.1040134708001949,-0.11306320227028596,-0.08581641844476942,-0.1040134708001949,1.0,negative,0.21996224526014094,0.17410974246545416,0.6170886642700779,0.10506915675962378
143,"electrostatic:grid:(-3, 2, 2)",electrostatic,grid,-3.0,2.0,2.0,-3.1750632654179998,2.116708843612,2.116708843612,4.363707070445645,-0.10136649187499541,True,1.0,-0.09900446870004566,-0.10082408757722004,-0.10620072258626621,-0.08916209320596563,-0.10082408757722004,1.0,negative,0.2740608542829236,0.22373107337591724,0.6556463096975983,0.10136649187499541
192,"electrostatic:grid:(1, 3, 1)",electrostatic,grid,1.0,3.0,1.0,1.058354421806,3.1750632654179998,1.058354421806,3.510164512344035,0.09907994660628787,True,1.0,0.09306927649370098,0.0959755217136919,0.08503681031925675,0.10282120312823408,0.0959755217136919,1.0,positive,0.18919716075208357,0.1318152259872316,0.5649480748250286,0.09907994660628787
18,"electronic:grid:(-4, 1, 2)",electronic,grid,-4.0,1.0,2.0,-4.233417687224,1.058354421806,2.116708843612,4.849989250017216,0.08912809721943386,True,1.0,0.0865229369640947,0.08831783165738122,0.07955837151655899,0.09422284123528075,0.08831783165738122,1.0,positive,0.31649128914847907,0.276065587638456,0.7133111108974234,0.08912809721943386
