block,candidate_grid_n,fulltrain_nonzero_grid_n,fulltrain_nonzero_summary_n,outer_mean_selected_grid_n,outer_stable_grid_n_frequency_ge_0_5,grid_coefficient_l1,grid_coefficient_l2,centered_grid_contribution_sd_kcal_mol,centered_grid_contribution_mean_abs_kcal_mol,centered_grid_contribution_min_kcal_mol,centered_grid_contribution_max_kcal_mol,centered_total_block_contribution_sd_kcal_mol,centered_total_block_contribution_mean_abs_kcal_mol,grid_coefficient_l1_fraction
electronic,105,24,1,24.012048192771083,24,1.431469972172285,0.3800253665004143,1.0239769297118053,0.7296683308199465,-3.0389442967314877,1.7718741292207014,1.0341172147298077,0.7396214804731476,0.5227886432252993
electrostatic,105,24,1,25.216867469879517,25,1.2423280087145012,0.34800946336588345,0.8447763349637352,0.6249922061283284,-1.6063077202423532,2.8237639162291197,0.9482839159541646,0.7159809191601875,0.4537119092558053
orbital,105,3,0,2.373493975903614,3,0.06434484360334536,0.04157330855875176,0.08060685072224189,0.06118991111605842,-0.13816917000341003,0.18068842262001206,0.08060685072224189,0.06118991111605842,0.02349944751889521
