feature_index,feature,block,kind,x_grid,y_grid,z_grid,x_angstrom,y_angstrom,z_angstrom,radius_angstrom,fulltrain_coefficient,fulltrain_nonzero,outer_selection_frequency,outer_coefficient_mean,outer_coefficient_median_all,outer_coefficient_p16,outer_coefficient_p84,outer_coefficient_median_when_selected,outer_sign_consistency_when_selected,outer_dominant_sign,training_centered_effect_rms_kcal_mol,training_centered_effect_mean_abs_kcal_mol,training_centered_effect_max_abs_kcal_mol,stability_weighted_abs_coefficient
19,"electronic:grid:(-4, 1, 3)",electronic,grid,-4.0,1.0,3.0,-4.233417687224,1.058354421806,3.1750632654179998,5.396569849086003,0.0,False,0.3373493975903614,0.0015286916129810906,0.0,0.0,0.0018246898568514715,0.0017300722890171085,1.0,positive,0.0,0.0,0.0,0.0
20,"electronic:grid:(-4, 2, -2)",electronic,grid,-4.0,2.0,-2.0,-4.233417687224,2.116708843612,-2.116708843612,5.184856600886035,0.021344892883235538,True,0.9036144578313253,0.01692971806640587,0.019093810028951587,0.007056404259589754,0.022850785893974917,0.019852760707660913,1.0,positive,0.07151711631806648,0.05660217876686549,0.2040626957446847,0.019287553810152593
21,"electronic:grid:(-4, 2, -1)",electronic,grid,-4.0,2.0,-1.0,-4.233417687224,2.116708843612,-1.058354421806,4.849989250017216,0.0,False,0.012048192771084338,-7.558859850299704e-05,0.0,0.0,0.0,-0.006273853675748754,1.0,negative,0.0,0.0,0.0,0.0
22,"electronic:grid:(-4, 2, 1)",electronic,grid,-4.0,2.0,1.0,-4.233417687224,2.116708843612,1.058354421806,4.849989250017216,-0.0,False,0.024096385542168676,-0.00012141699134873138,0.0,0.0,-0.0,-0.005038805140972352,1.0,negative,0.0,0.0,0.0,0.0
23,"electronic:grid:(-4, 2, 2)",electronic,grid,-4.0,2.0,2.0,-4.233417687224,2.116708843612,2.116708843612,5.184856600886035,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
24,"electronic:grid:(-4, 2, 3)",electronic,grid,-4.0,2.0,3.0,-4.233417687224,2.116708843612,3.1750632654179998,5.699412985784857,-0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
25,"electronic:grid:(-4, 3, -2)",electronic,grid,-4.0,3.0,-2.0,-4.233417687224,3.1750632654179998,-2.116708843612,5.699412985784857,0.04078027347458642,True,0.9759036144578314,0.03918444182218289,0.040939215395236185,0.03480778107695851,0.04627587622283227,0.04095960169694976,1.0,positive,0.09044950988329034,0.07271607951255811,0.40549906490218934,0.03979761628242771
26,"electronic:grid:(-4, 3, -1)",electronic,grid,-4.0,3.0,-1.0,-4.233417687224,3.1750632654179998,-1.058354421806,5.396569849086003,0.0,False,0.1566265060240964,0.001259180316736731,0.0,0.0,0.0,0.0043853579380799465,1.0,positive,0.0,0.0,0.0,0.0
27,"electronic:grid:(-4, 3, 1)",electronic,grid,-4.0,3.0,1.0,-4.233417687224,3.1750632654179998,1.058354421806,5.396569849086003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
28,"electronic:grid:(-4, 3, 2)",electronic,grid,-4.0,3.0,2.0,-4.233417687224,3.1750632654179998,2.116708843612,5.699412985784857,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
29,"electronic:grid:(-4, 3, 3)",electronic,grid,-4.0,3.0,3.0,-4.233417687224,3.1750632654179998,3.1750632654179998,6.171213721247598,0.0,False,0.060240963855421686,0.0008510836238461603,0.0,0.0,0.0,0.016579537554590847,1.0,positive,0.0,0.0,0.0,0.0
30,"electronic:grid:(-3, 1, -2)",electronic,grid,-3.0,1.0,-2.0,-3.1750632654179998,1.058354421806,-2.116708843612,3.9599996401752833,0.03282020791556188,True,0.9879518072289156,0.03170725327751762,0.03233763975448864,0.02710168271937902,0.03715485964093218,0.032339110101743,1.0,positive,0.09920907830661248,0.08574283228955737,0.25295802987194926,0.03242478372380812
31,"electronic:grid:(-3, 1, -1)",electronic,grid,-3.0,1.0,-1.0,-3.1750632654179998,1.058354421806,-1.058354421806,3.510164512344035,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
32,"electronic:grid:(-3, 1, 1)",electronic,grid,-3.0,1.0,1.0,-3.1750632654179998,1.058354421806,1.058354421806,3.510164512344035,-0.0,False,0.03614457831325301,-0.00028937850687057467,0.0,0.0,-0.0,-0.007818173447601445,1.0,negative,0.0,0.0,0.0,0.0
