feature_index,feature,block,kind,x_grid,y_grid,z_grid,x_angstrom,y_angstrom,z_angstrom,radius_angstrom,fulltrain_coefficient,fulltrain_nonzero,outer_selection_frequency,outer_coefficient_mean,outer_coefficient_median_all,outer_coefficient_p16,outer_coefficient_p84,outer_coefficient_median_when_selected,outer_sign_consistency_when_selected,outer_dominant_sign,training_centered_effect_rms_kcal_mol,training_centered_effect_mean_abs_kcal_mol,training_centered_effect_max_abs_kcal_mol,stability_weighted_abs_coefficient
19,"electronic:grid:(-4, 1, 3)",electronic,grid,-4.0,1.0,3.0,-4.233417687224,1.058354421806,3.1750632654179998,5.396569849086003,0.0,False,0.3373493975903614,0.0015286916129810164,0.0,0.0,0.0018246898568510831,0.0017300722890165794,1.0,positive,0.0,0.0,0.0,0.0
20,"electronic:grid:(-4, 2, -2)",electronic,grid,-4.0,2.0,-2.0,-4.233417687224,2.116708843612,-2.116708843612,5.184856600886035,0.02134489288323344,True,0.9036144578313253,0.016929718066406384,0.019093810028951698,0.00705640425959213,0.022850785893974344,0.019852760707664275,1.0,positive,0.07151711631805945,0.056602178766859954,0.20406269574466462,0.0192875538101507
21,"electronic:grid:(-4, 2, -1)",electronic,grid,-4.0,2.0,-1.0,-4.233417687224,2.116708843612,-1.058354421806,4.849989250017216,0.0,False,0.012048192771084338,-7.558859850300148e-05,0.0,0.0,0.0,-0.006273853675749123,1.0,negative,0.0,0.0,0.0,0.0
22,"electronic:grid:(-4, 2, 1)",electronic,grid,-4.0,2.0,1.0,-4.233417687224,2.116708843612,1.058354421806,4.849989250017216,-0.0,False,0.024096385542168676,-0.0001214169913487402,0.0,0.0,-0.0,-0.005038805140972718,1.0,negative,0.0,0.0,0.0,0.0
23,"electronic:grid:(-4, 2, 2)",electronic,grid,-4.0,2.0,2.0,-4.233417687224,2.116708843612,2.116708843612,5.184856600886035,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
24,"electronic:grid:(-4, 2, 3)",electronic,grid,-4.0,2.0,3.0,-4.233417687224,2.116708843612,3.1750632654179998,5.699412985784857,-0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
25,"electronic:grid:(-4, 3, -2)",electronic,grid,-4.0,3.0,-2.0,-4.233417687224,3.1750632654179998,-2.116708843612,5.699412985784857,0.04078027347458779,True,0.9759036144578314,0.039184441822182906,0.0409392153952385,0.03480778107696107,0.04627587622283355,0.04095960169694907,1.0,positive,0.09044950988329338,0.07271607951256055,0.405499064902203,0.03979761628242905
26,"electronic:grid:(-4, 3, -1)",electronic,grid,-4.0,3.0,-1.0,-4.233417687224,3.1750632654179998,-1.058354421806,5.396569849086003,0.0,False,0.1566265060240964,0.0012591803167366952,0.0,0.0,0.0,0.0043853579380786125,1.0,positive,0.0,0.0,0.0,0.0
27,"electronic:grid:(-4, 3, 1)",electronic,grid,-4.0,3.0,1.0,-4.233417687224,3.1750632654179998,1.058354421806,5.396569849086003,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
28,"electronic:grid:(-4, 3, 2)",electronic,grid,-4.0,3.0,2.0,-4.233417687224,3.1750632654179998,2.116708843612,5.699412985784857,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
