feature_index,feature,block,kind,x_grid,y_grid,z_grid,x_angstrom,y_angstrom,z_angstrom,radius_angstrom,fulltrain_coefficient,fulltrain_nonzero,outer_selection_frequency,outer_coefficient_mean,outer_coefficient_median_all,outer_coefficient_p16,outer_coefficient_p84,outer_coefficient_median_when_selected,outer_sign_consistency_when_selected,outer_dominant_sign,training_centered_effect_rms_kcal_mol,training_centered_effect_mean_abs_kcal_mol,training_centered_effect_max_abs_kcal_mol,stability_weighted_abs_coefficient
315,electronic:summary:max,electronic,summary_max,,,,,,,,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
316,electronic:summary:min,electronic,summary_min,,,,,,,,0.0724713635156503,True,0.9879518072289156,0.0745957905648996,0.07332106605718558,0.0663160030696241,0.08415307164271008,0.07350978524437539,1.0,positive,0.07247136351565031,0.022720606779084253,0.5163065908792696,0.07159821455763041
317,electrostatic:summary:max,electrostatic,summary_max,,,,,,,,-0.0,False,0.10843373493975904,-0.001380465287208534,0.0,0.0,-0.0,-0.014769847097598132,1.0,negative,0.0,0.0,0.0,0.0
318,electrostatic:summary:min,electrostatic,summary_min,,,,,,,,-0.29503964653772535,True,1.0,-0.2971595899418662,-0.296749084964161,-0.312070992435017,-0.28644630219752615,-0.296749084964161,1.0,negative,0.2950396465377254,0.2165986953686914,1.0202626604238452,0.29503964653772535
319,orbital:summary:max,orbital,summary_max,,,,,,,,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
320,orbital:summary:min,orbital,summary_min,,,,,,,,-0.0,False,0.060240963855421686,-0.0006888700476520576,0.0,0.0,-0.0,-0.007771585189680415,1.0,negative,0.0,0.0,0.0,0.0
