group,stage,expected,observed_percent,fulltrain_percent,fulltrain_top_match,outer83_top_match_fraction,outer83_mean_percent,outer83_median_percent,outer83_sd_percent,outer83_p16_percent,outer83_p84_percent,outer83_min_percent,outer83_max_percent
a,initial,2,87.0,69.65410892146713,True,0.9397590361445783,70.55440069330452,71.18435471910038,12.323564561451256,64.96016891504772,79.04899926135904,14.653857838936673,98.45291416519916
b,initial,1,100.0,85.71500851338173,True,0.9759036144578314,83.79516772428558,87.01929608849154,13.504196490520687,78.0578498202836,91.38514605393753,11.579866152988691,99.16727042223718
c,initial,2,99.0,77.804407072454,True,0.9156626506024096,71.03107694425621,74.96188846264836,12.156591675755973,64.27513361166272,79.98031281620366,35.21617037206393,87.11150328665575
d,initial,1,95.0,89.27395860421822,True,1.0,88.39439999057086,89.28674286937664,5.6149597045318345,86.05806536772485,91.4720757556275,58.35664954616156,98.32282364910044
e,initial,2,100.0,99.85036609018492,True,1.0,99.87930437502186,99.86964047182586,0.058944737244689877,99.8361997742044,99.94881865534323,99.6169144258527,99.99167746832106
f,initial,1,100.0,99.60771080112639,True,1.0,99.2820760809519,99.54941677400335,1.2911062682024763,99.224937794346,99.6614305127896,88.17358066212428,99.88771899577816
a,final,2-4,,70.35289200038196,True,0.9518072289156626,71.02466738313724,71.65756002387334,12.213943022346115,65.19073030692455,79.23905881002567,14.843410173979127,98.39220380244426
e,final,2-3,,91.62316064922257,True,0.9879518072289156,88.79531862109332,91.10162646335775,6.880320000483803,85.41484030621011,92.0688661951968,46.447127993113774,95.42661116692861
